OrderId,Product,QuantityOrdered,PriceEach,OrderDate,CityStore,Category,OrderStatus
242189,20in Monitor,16,109.99,8/16/2019,Los Angeles,Monitor,In Progress
282692,AAA Batteries (4-pack),4,2.99,11/12/2019,New York City,Batteries,Completed
283201,AAA Batteries (4-pack),3,2.99,11/5/2019,Los Angeles,Batteries,Cancelled
169424,AAA Batteries (4-pack),12,2.99,3/16/2019,Dallas,Batteries,In Progress
192114,AA Batteries (4-pack),20,3.84,4/5/2019,Dallas,Batteries,Completed
194085,Wired Headphones,1,11.99,4/17/2019,Dallas,Headphones,Cancelled
225022,Wired Headphones,10,11.99,7/28/2019,Boston,Headphones,Completed
261059,AAA Batteries (4-pack),2,2.99,10/15/2019,Los Angeles,Batteries,Completed
241778,AA Batteries (4-pack),5,3.84,8/31/2019,New York City,Batteries,Completed
239944,Flatscreen TV,2,30000,8/28/2019,Dallas,TV,Completed
236681,AA Batteries (4-pack),9,3.84,8/26/2019,Los Angeles,Batteries,Cancelled
211520,AAA Batteries (4-pack),24,2.99,6/11/2019,San Francisco,Batteries,Completed
248739,AA Batteries (4-pack),10,3.84,9/17/2019,San Francisco,Batteries,Cancelled
242055,USB-C Charging Cable,20,11.95,8/31/2019,Boston,Cable,Completed
179651,27in 4K Gaming Monitor,3,389.99,4/5/2019,Boston,Monitor,Completed
277181,AA Batteries (4-pack),25,3.84,10/13/2019,San Francisco,Batteries,Cancelled
179541,Bose SoundSport Headphones,10,99.99,4/27/2019,San Francisco,Headphones,Completed
238247,Apple Airpods Headphones,2,15000,8/8/2019,Boston,Headphones,Completed
259630,34in Ultrawide Monitor,15,379.99,10/6/2019,Dallas,Monitor,In Progress
170365,AA Batteries (4-pack),6,3.84,3/8/2019,Los Angeles,Batteries,Completed
204041,USB-C Charging Cable,2,11.95,5/29/2019,Los Angeles,Cable,Completed
228815,Flatscreen TV,6,30000,7/7/2019,San Francisco,TV,Completed
207703,USB-C Charging Cable,10,11.95,5/1/2019,San Francisco,Cable,In Progress
176516,34in Ultrawide Monitor,3,379.99,3/27/2019,San Francisco,Monitor,Completed
141378,USB-C Charging Cable,9,11.95,1/22/2019,Boston,Cable,Completed
268145,AA Batteries (4-pack),12,3.84,10/13/2019,San Francisco,Batteries,Completed
265641,34in Ultrawide Monitor,20,379.99,10/20/2019,San Francisco,Monitor,Cancelled
305370,AA Batteries (4-pack),48,3.84,12/4/2019,Boston,Batteries,Completed
309830,AAA Batteries (4-pack),4,2.99,12/29/2019,Los Angeles,Batteries,Completed
281635,iPhone,10,70000,11/13/2019,New York City,Phone,Completed
216629,Bose SoundSport Headphones,1,99.99,6/12/2019,Los Angeles,Headphones,Completed
195660,iPhone,4,70000,5/20/2019,Dallas,Phone,Completed
155401,Bose SoundSport Headphones,4,99.99,2/10/2019,Boston,Headphones,Completed
270881,AAA Batteries (4-pack),4,2.99,10/13/2019,Dallas,Batteries,Completed
241269,AA Batteries (4-pack),8,3.84,8/12/2019,Los Angeles,Batteries,Completed
154112,USB-C Charging Cable,12,11.95,2/18/2019,San Francisco,Cable,Completed
265522,AAA Batteries (4-pack),3,2.99,10/27/2019,Dallas,Batteries,Completed
162091,Bose SoundSport Headphones,20,99.99,3/18/2019,New York City,Headphones,Completed
215173,Bose SoundSport Headphones,16,99.99,6/16/2019,San Francisco,Headphones,Cancelled
272328,USB-C Charging Cable,5,11.95,10/13/2019,Los Angeles,Cable,Completed
246759,Flatscreen TV,4,30000,8/12/2019,Dallas,TV,Completed
187535,Lightning Charging Cable,10,14.95,4/9/2019,Dallas,Cable,Completed
312968,AAA Batteries (4-pack),40,2.99,12/15/2019,Dallas,Batteries,Completed
207307,27in FHD Monitor,5,149.99,5/22/2019,Dallas,Monitor,Completed
145055,Wired Headphones,15,11.99,1/7/2019,New York City,Headphones,Completed
258844,Lightning Charging Cable,8,14.95,9/24/2019,San Francisco,Cable,Completed
195645,AAA Batteries (4-pack),2,2.99,5/17/2019,Boston,Batteries,Cancelled
287018,Google Phone,10,60000,11/7/2019,San Francisco,Phone,Completed
